# -----------------------------------------------------------------------------
# TMdock - docking by full/partial structure alignment                V20160511
#										
# -----------------------------------------------------------------------------
#               Date / time : 2023:08:03 / 04:25:04
#       Number of templates : 12470
#            Alignment type : FSA
#                 Fast mode : on
#         Benchmarking mode : off
#     TMScore Normalized by : Length of the target
# -----------------------------------------------------------------------------
#
# Label                Score    TM-score1    TM-score2    FSC-score      iSeqID1      iSeqID2        dSASA         d_av       AACE18        SolEM     trgtLen1     trgtLen2    tmpltLen1    tmpltLen2      aliLen1      aliLen2         t[0]         t[1]         t[2]      u[0][0]      u[0][1]      u[0][2]      u[1][0]      u[1][1]      u[1][2]      u[2][0]      u[2][1]      u[2][2]
#
6j14B1G1_12      2.30550e-02  5.87578e-01  2.46517e-01  4.28571e-01  4.16667e-02  2.00000e-01  1.28142e-04  1.75942e-02  1.52039e-01  3.89704e-02  9.50000e+01  2.60000e+01  1.12000e+02  1.00000e+02  8.80000e+01  2.50000e+01 -2.02720e+00 -7.81776e+00  2.66159e+01  8.63869e-02 -9.56660e-01  2.78099e-01 -2.76069e-01 -2.91198e-01 -9.15964e-01  9.57248e-01  2.35300e-03 -2.89259e-01
2ck20A0B_12      2.14135e-02  7.65654e-01  2.21959e-01  3.16667e-01  2.83019e-01  4.76190e-02  3.75869e-03  5.89854e-02  2.43802e-01  4.90100e-02  9.50000e+01  2.60000e+01  9.40000e+01  9.60000e+01  9.00000e+01  2.40000e+01 -1.32478e+01  1.43552e+00 -1.90193e+01 -8.22807e-01  4.16737e-01 -3.86419e-01  4.00591e-02  7.20767e-01  6.92019e-01  5.66908e-01  5.53919e-01 -6.09746e-01
2ck20A0B_21      1.64802e-02  7.77395e-01  2.05802e-01  3.16891e-01  2.90909e-01  0.00000e+00  4.66226e-03  8.41626e-02  2.23041e-01  4.70929e-02  9.50000e+01  2.60000e+01  9.60000e+01  9.40000e+01  9.00000e+01  2.20000e+01 -1.45285e+01 -4.64349e-01 -1.92189e+01 -8.01206e-01  3.69077e-01 -4.71011e-01  1.31953e-02  7.97837e-01  6.02728e-01  5.98243e-01  4.76694e-01 -6.44102e-01
1i850B0D_12      1.39005e-02  5.24312e-01  2.25728e-01  3.29305e-01  8.88889e-02  0.00000e+00  9.35318e-02  1.35382e-01  3.08053e-01  1.85986e-01  9.50000e+01  2.60000e+01  1.09000e+02  1.11000e+02  7.90000e+01  2.40000e+01 -9.85384e+00  3.32336e+00 -7.70075e+00 -9.09796e-01  9.39078e-02  4.04293e-01  2.89637e-01  8.41337e-01  4.56357e-01 -2.97291e-01  5.32290e-01 -7.92644e-01
1i8l0A0C_21      1.33540e-02  6.23882e-01  2.73912e-01  2.49135e-01  6.81818e-02  7.69231e-02  1.17176e-03  1.64374e-02  2.32789e-01  4.65219e-02  9.50000e+01  2.60000e+01  1.18000e+02  1.99000e+02  8.70000e+01  2.40000e+01 -1.03920e+01  1.96143e+01  7.65830e+00 -9.95962e-01  3.71581e-02 -8.17236e-02 -3.64905e-02  6.64168e-01  7.46692e-01  8.20239e-02  7.46659e-01 -6.60130e-01
6j14A1G1_12      1.29796e-02  5.77265e-01  2.46517e-01  2.30461e-01  0.00000e+00  9.52381e-02  2.76884e-03  8.58640e-02  4.17014e-01  8.73373e-02  9.50000e+01  2.60000e+01  1.13000e+02  1.00000e+02  8.30000e+01  2.50000e+01 -6.31666e+00  1.21424e+01 -3.07855e+00 -3.54080e-02  8.68083e-01 -4.95155e-01  7.83786e-01 -2.83271e-01 -5.52664e-01 -6.20021e-01 -4.07664e-01 -6.70361e-01
6ifmB1H1_12      1.18954e-02  2.20372e-01  3.50916e-01  2.34095e-01  9.61538e-02  4.54545e-02  6.38250e-01  7.69256e-01  9.91605e-01  6.67728e-01  9.50000e+01  2.60000e+01  6.80000e+01  6.80000e+01  5.50000e+01  2.20000e+01 -1.05786e+01  5.76801e+00  6.82196e+00 -6.68436e-02  2.85194e-01 -9.56136e-01 -5.94919e-01  7.57912e-01  2.67659e-01  8.01002e-01  5.86715e-01  1.19005e-01
3u5w1A2A_12      1.17105e-02  4.38383e-01  2.71856e-01  3.00979e-01  7.01754e-02  0.00000e+00  2.88450e-01  3.00784e-01  4.18736e-01  2.98059e-01  9.50000e+01  2.60000e+01  1.26000e+02  1.26000e+02  7.30000e+01  2.60000e+01  1.40394e+01 -4.63614e+00  6.66059e+00  2.15482e-01  2.70732e-01  9.38228e-01  7.00135e-01 -7.12602e-01  4.48264e-02  6.80719e-01  6.47227e-01 -3.43101e-01
6ks1A1H1_21      1.16413e-02  5.96769e-01  3.19975e-01  2.79910e-01  7.89474e-02  0.00000e+00  2.46014e-03  4.64219e-02  1.97403e-01  4.36747e-02  9.50000e+01  2.60000e+01  1.19000e+02  2.86000e+02  8.70000e+01  2.50000e+01  5.97360e+00  2.92614e+01  1.79631e+01  8.55118e-01  3.18570e-01  4.09007e-01 -4.31951e-01  1.53047e-03  9.01896e-01  2.86691e-01 -9.47898e-01  1.38915e-01
3tnd1B1D_21      1.12442e-02  2.06201e-01  3.91857e-01  1.89969e-01  5.88235e-02  6.66667e-02  6.59941e-01  6.99613e-01  9.39108e-01  5.52811e-01  9.50000e+01  2.60000e+01  6.80000e+01  6.80000e+01  6.40000e+01  2.20000e+01  1.49554e+01 -9.51875e+00  1.82620e+00  2.40398e-01 -2.95993e-01  9.24444e-01  1.98232e-01 -9.17331e-01 -3.45265e-01  9.50217e-01  2.66255e-01 -1.61849e-01
